Brand,ProductType,Collection,ShadeName,ShadeCode,ProductURL,SwatchImageURL,ApproxHex
CND,Shellac,link-1_View all CND Shellac_https://www.jklondon.com/collections/cnd-shellac,Pink Leggings,CNDSPLE,https://www.jklondon.com/products/cnd-shellac-pink-leggings-7-3ml,https://cdn.shopify.com/s/files/1/0352/6256/2348/products/PinkLeggings.jpg?v=1656589985,#881A43
CND,Shellac,link-1_View all CND Shellac_https://www.jklondon.com/collections/cnd-shellac,White Wedding,CNDSWWED,https://www.jklondon.com/products/cnd-shellac-white-wedding-7-3ml,https://cdn.shopify.com/s/files/1/0352/6256/2348/products/WHITE-WEDDING.jpg?v=1656592014,#ADABA3
CND,Shellac,link-1_View all CND Shellac_https://www.jklondon.com/collections/cnd-shellac,Rubble,CNDSRUB,https://www.jklondon.com/products/cnd-shellac-rubble-7-3ml,https://cdn.shopify.com/s/files/1/0352/6256/2348/products/Rubble_1d5164b5-4f88-4362-b3c1-c5957f5fe64d.jpg?v=1656590737,#4F423D
CND,Shellac,link-1_View all CND Shellac_https://www.jklondon.com/collections/cnd-shellac,Ice Bar,CNDSIBAR,https://www.jklondon.com/products/cnd-shellac-ice-bar-7-3ml,https://cdn.shopify.com/s/files/1/0352/6256/2348/products/icebar.jpg?v=1726241015,#949090
CND,Shellac,link-1_View all CND Shellac_https://www.jklondon.com/collections/cnd-shellac,Taffy,CNDSTAF,https://www.jklondon.com/products/cnd-shellac-taffy-7-3ml,https://cdn.shopify.com/s/files/1/0352/6256/2348/products/taffy.jpg?v=1656591491,#769997
CND,Shellac,link-1_View all CND Shellac_https://www.jklondon.com/collections/cnd-shellac,Desert Poppy,CNDSDPOP,https://www.jklondon.com/products/cnd-shellac-desert-poppy-7-3ml,https://cdn.shopify.com/s/files/1/0352/6256/2348/products/DesertPoppy.jpg?v=1726240108,#A34D48
CND,Shellac,link-1_View all CND Shellac_https://www.jklondon.com/collections/cnd-shellac,Strawberry Smoothie,CNDSSSMOO,https://www.jklondon.com/products/cnd-shellac-strawberry-smoothie-7-3ml,https://cdn.shopify.com/s/files/1/0352/6256/2348/products/StrawSmoothie.jpg?v=1656591365,#826669
CND,Shellac,link-1_View all CND Shellac_https://www.jklondon.com/collections/cnd-shellac,Powder My Nose,CNDSPMN,https://www.jklondon.com/products/cnd-shellac-powder-my-nose-7-3ml,https://cdn.shopify.com/s/files/1/0352/6256/2348/products/PowderMyNose.jpg?v=1656590099,#988173
CND,Shellac,link-1_View all CND Shellac_https://www.jklondon.com/collections/cnd-shellac,Chance Taker,CNDSCT,https://www.jklondon.com/products/cnd-shellac-chance-taker-7-3ml,https://cdn.shopify.com/s/files/1/0352/6256/2348/products/chance-taker.jpg?v=1726239717,#7C8DA4
CND,Shellac,link-1_View all CND Shellac_https://www.jklondon.com/collections/cnd-shellac,Rose Brocade,CNDSRBRO,https://www.jklondon.com/products/cnd-shellac-rose-brocade-7-3ml,https://cdn.shopify.com/s/files/1/0352/6256/2348/products/RoseBrocade.jpg?v=1656590677,#853743
CND,Shellac,link-1_View all CND Shellac_https://www.jklondon.com/collections/cnd-shellac,Blue Eyeshadow,CNDSBEYE,https://www.jklondon.com/products/cnd-shellac-blue-eyeshadow-7-3ml,https://cdn.shopify.com/s/files/1/0352/6256/2348/products/BlueEyeshadow.jpg?v=1726238492,#303F71
CND,Shellac,link-1_View all CND Shellac_https://www.jklondon.com/collections/cnd-shellac,Red Baroness,CNDSRBA,https://www.jklondon.com/products/cnd-shellac-red-baroness-7-3ml,https://cdn.shopify.com/s/files/1/0352/6256/2348/products/RedBaron.jpg?v=1656590229,#603136
CND,Shellac,link-1_View all CND Shellac_https://www.jklondon.com/collections/cnd-shellac,Arrowhead,CNDSAH,https://www.jklondon.com/products/cnd-shellac-arrowhead-7-3ml,https://cdn.shopify.com/s/files/1/0352/6256/2348/products/ARROWHEAD.jpg?v=1726235221,#442828
CND,Shellac,link-1_View all CND Shellac_https://www.jklondon.com/collections/cnd-shellac,Live Love Lavender,CNDSLLLA,https://www.jklondon.com/products/cnd-shellac-live-love-lavender-7-3ml,https://cdn.shopify.com/s/files/1/0352/6256/2348/files/CNDShellac-LiveLoveLavender7.3ml.jpg?v=1712758735,#7E7093
CND,Shellac,link-1_View all CND Shellac_https://www.jklondon.com/collections/cnd-shellac,Tartan Punk,CNDSTPUN,https://www.jklondon.com/products/cnd-shellac-tartan-punk-7-3ml,https://cdn.shopify.com/s/files/1/0352/6256/2348/products/TartanPunk.jpg?v=1656591529,#742E3C
CND,Shellac,link-1_View all CND Shellac_https://www.jklondon.com/collections/cnd-shellac,Holographic,CNDSHOLO,https://www.jklondon.com/products/cnd-shellac-holographic-7-3ml,https://cdn.shopify.com/s/files/1/0352/6256/2348/products/HOLOGRAPHIC_07d4eaf0-ea6f-4fa8-8114-bfb82d8f443d.jpg?v=1726240866,#B46A77
CND,Shellac,link-1_View all CND Shellac_https://www.jklondon.com/collections/cnd-shellac,Femme Fatale,CNDSFF,https://www.jklondon.com/products/cnd-shellac-femme-fatale-7-3ml,https://cdn.shopify.com/s/files/1/0352/6256/2348/products/femmefatal.jpg?v=1726240597,#862F46
CND,Shellac,link-1_View all CND Shellac_https://www.jklondon.com/collections/cnd-shellac,Liberte,CNDSLIBT,https://www.jklondon.com/products/cnd-shellac-liberte-7-3ml,https://cdn.shopify.com/s/files/1/0352/6256/2348/products/liberte.jpg?v=1656509233,#89142E
CND,Shellac,link-1_View all CND Shellac_https://www.jklondon.com/collections/cnd-shellac,Pacific Rose,CNDSPR,https://www.jklondon.com/products/cnd-shellac-pacific-rose-7-3ml,https://cdn.shopify.com/s/files/1/0352/6256/2348/products/pacificrose.jpg?v=1656589831,#9F737A
CND,Shellac,link-1_View all CND Shellac_https://www.jklondon.com/collections/cnd-shellac,Beckoning Begonia,CNDSBBEG,https://www.jklondon.com/products/cnd-shellac-beckoning-begonia-7-3ml,https://cdn.shopify.com/s/files/1/0352/6256/2348/products/BeckingBegonia.jpg?v=1726238340,#8D657D
CND,Shellac,link-1_View all CND Shellac_https://www.jklondon.com/collections/cnd-shellac,Unlocked,CNDSUNL,https://www.jklondon.com/products/cnd-shellac-unlocked-7-3ml,https://cdn.shopify.com/s/files/1/0352/6256/2348/products/Unlocked.jpg?v=1656591712,#978987
CND,Shellac,link-1_View all CND Shellac_https://www.jklondon.com/collections/cnd-shellac,Jellied,CNDSJEL,https://www.jklondon.com/products/cnd-shellac-jellied-7-3ml,https://cdn.shopify.com/s/files/1/0352/6256/2348/products/jellied.jpg?v=1726241133,#ABA172
CND,Shellac,link-1_View all CND Shellac_https://www.jklondon.com/collections/cnd-shellac,Rose mance,CNDSRM,https://www.jklondon.com/products/cnd-shellac-rose-mance-7-3ml,https://cdn.shopify.com/s/files/1/0352/6256/2348/files/cnd-shellac-7-3ml-rose-mance.jpg?v=1689928399,#674249
CND,Shellac,link-1_View all CND Shellac_https://www.jklondon.com/collections/cnd-shellac,Bordeaux Babe,CNDSBB,https://www.jklondon.com/products/cnd-shellac-bordeaux-babe-7-3ml,https://cdn.shopify.com/s/files/1/0352/6256/2348/products/bordeaux-babe.jpg?v=1726238651,#602627
CND,Shellac,link-1_View all CND Shellac_https://www.jklondon.com/collections/cnd-shellac,Bellini,CNDSBEL,https://www.jklondon.com/products/cnd-shellac-bellini-7-3ml,https://cdn.shopify.com/s/files/1/0352/6256/2348/products/BELLINI_cb702bfd-8685-445b-8954-20533a2ce6cd.jpg?v=1726238356,#937F78
CND,Shellac,link-1_View all CND Shellac_https://www.jklondon.com/collections/cnd-shellac,Offbeat,CNDSOFFB,https://www.jklondon.com/products/cnd-shellac-offbeat-7-3ml,https://cdn.shopify.com/s/files/1/0352/6256/2348/products/OFFBEAT.jpg?v=1656589771,#A1294B
CND,Shellac,link-1_View all CND Shellac_https://www.jklondon.com/collections/cnd-shellac,Dark Lava,CNDSDLA,https://www.jklondon.com/products/cnd-shellac-dark-lava-7-3ml,https://cdn.shopify.com/s/files/1/0352/6256/2348/products/DarkLava.jpg?v=1726240049,#3C2A2A
