Brand,Product Type,Category,Shade Name,ProductURL
The GelBottle Inc.,BIAB,Milky,White,https://thegelbottle.com/colours/white-biab/
The GelBottle Inc.,BIAB,Sheer,Teddy BIAB Mini,https://thegelbottle.com/colours/teddy-biab-mini/
The GelBottle Inc.,BIAB,Sheer,Bebe HEMA-Free,https://thegelbottle.com/shop/bebe-hema-free-biab/
The GelBottle Inc.,BIAB,Sheer,Bubble,https://thegelbottle.com/more/bubble-biab/
The GelBottle Inc.,BIAB,Sheer,Jolie HEMA-Free,https://thegelbottle.com/shop-all/jolie-hema-free-biab/
The GelBottle Inc.,BIAB,Standard,Evergreen,https://thegelbottle.com/more/evergreen-biab/
The GelBottle Inc.,BIAB,Shimmery,Jello,https://thegelbottle.com/more/jello-biab/
The GelBottle Inc.,BIAB,Standard,NU01 All-In-One,https://thegelbottle.com/biabtm-20ml/nu01-all-in-one-biab/
The GelBottle Inc.,BIAB,Sheer,Zen,https://thegelbottle.com/shop-all/zen-biab/
The GelBottle Inc.,BIAB,Shimmery,Angel,https://thegelbottle.com/shop-all/angel-biab/
The GelBottle Inc.,BIAB,Sheer,Soft BIAB.,https://thegelbottle.com/biab-20ml/soft-biab/
The GelBottle Inc.,BIAB,Shimmery,NU06 All-In-One,https://thegelbottle.com/biabtm-20ml/nu06-all-in-one-biab/
The GelBottle Inc.,BIAB,Sheer,Bella,https://thegelbottle.com/shop-all/bella-biab/
The GelBottle Inc.,BIAB,Standard,Rosy,https://thegelbottle.com/more/rosy-biab/
The GelBottle Inc.,BIAB,Standard,Adventurous,https://thegelbottle.com/colours/adventurous-biab/
The GelBottle Inc.,BIAB,Sheer,17,https://thegelbottle.com/colours/17-biab/
The GelBottle Inc.,BIAB,Sheer,Kiss BIAB.,https://thegelbottle.com/biab-20ml/kiss-biab/
The GelBottle Inc.,BIAB,Standard,Love BIAB Mini,https://thegelbottle.com/shop/biab/love-biab-mini/
The GelBottle Inc.,BIAB,Standard,Pudding BIAB Mini,https://thegelbottle.com/colours/pudding-biab-mini/
The GelBottle Inc.,BIAB,Milky,Bunny BIAB Mini,https://thegelbottle.com/shop/biab/bunny-biab-mini/
The GelBottle Inc.,BIAB,Standard,Tulle HEMA-Free,https://thegelbottle.com/shop-all/tulle-hema-free-biab/
The GelBottle Inc.,BIAB,Standard,Unique,https://thegelbottle.com/colours/unique-biab/
The GelBottle Inc.,BIAB,Standard,Lady BIAB Mini,https://thegelbottle.com/colours/lady-biab-mini/
The GelBottle Inc.,BIAB,Shimmery,Whisper,https://thegelbottle.com/shop-all/whisper-biab/
The GelBottle Inc.,BIAB,Glitter,Sugar BIAB Mini,https://thegelbottle.com/shop/biab/sugar-biab-mini/
The GelBottle Inc.,BIAB,Standard,Toffee,https://thegelbottle.com/colours/toffee-biab/
The GelBottle Inc.,BIAB,Shimmery,Aura,https://thegelbottle.com/shop-all/aura-biab/
The GelBottle Inc.,BIAB,Shimmery,My Boo BIAB Mini,https://thegelbottle.com/shop/biab/my-boo-biab-mini/
The GelBottle Inc.,BIAB,Sheer,19 BIAB Mini,https://thegelbottle.com/colours/19-biab-mini/
The GelBottle Inc.,BIAB,Standard,Slate,https://thegelbottle.com/more/slate-biab/
The GelBottle Inc.,BIAB,Shimmery,Dewy,https://thegelbottle.com/shop-all/dewy-biab/
The GelBottle Inc.,BIAB,Sheer,Bonbon HEMA-Free,https://thegelbottle.com/shop/bonbon-hema-free-biab/
