Brand,Product Type,Collection,Category,Shade Name,ApproxHex,ProductURL,SwatchURL
The GelBottle Inc.,GelColor,,Glitter,Rhinestone Mini,#B5AE9E,https://thegelbottle.com/gel-colour/rhinestone-mini/,https://cdn11.bigcommerce.com/s-3k1bxwjbw6/products/2009/images/385039/bb27cf8837528c9be3e8f2ec3d29683e105d5fe9_Medium_01_25008_EC_POPS_RHINESTONE_9016_FINAL_1500x1500crop_72dpi__39643.1758289505.220.290.jpg?c=1
The GelBottle Inc.,GelColor,,Standard,Bond Base Mini,#B5B4B8,https://thegelbottle.com/shop/gel-colour/minis/bond-base-mini/,https://cdn11.bigcommerce.com/s-3k1bxwjbw6/products/1604/images/384324/af66f651253201c5b4ffc23c2db6138cb47e848a_59725__bond_base_mini__23012.1758289491.220.290.jpg?c=1
The GelBottle Inc.,GelColor,,Standard,Denim Mini,#1A2E6F,https://thegelbottle.com/gel-colour/denim-mini/,https://cdn11.bigcommerce.com/s-3k1bxwjbw6/products/2005/images/384489/0f12bd4a3b9df162daca4f38ad94f60c47bc41ed_Medium_01_25008_EC_POPS_DENIM_8988_FINAL_1500x1500crop_72dpi__14693.1758289503.220.290.jpg?c=1
The GelBottle Inc.,GelColor,,Shimmery,Wanted Mini,#C5B29F,https://thegelbottle.com/gel-colour/wanted-mini/,https://cdn11.bigcommerce.com/s-3k1bxwjbw6/products/2010/images/386932/51b3e6e7b07fdb0f5576cbebcb701fc15baae34a_Medium_01_25008_EC_POPS_WANTED_8993_FINAL_1500x1500crop_72dpi__18685.1758289502.220.290.jpg?c=1
The GelBottle Inc.,GelColor,,Shimmery,9 to 5 Mini,#EEC3CB,https://thegelbottle.com/gel-colour/9-to-5-mini/,https://cdn11.bigcommerce.com/s-3k1bxwjbw6/products/2008/images/385400/f84705302ad1bdc583da9aeeed3d7334d37b0859_Medium_01_25008_EC_POPS_9_TO_5_9015_FINAL_1500x1500crop_72dpi__29848.1758289500.220.290.jpg?c=1
The GelBottle Inc.,GelColor,,Standard,Bootie Mini,#E63F1C,https://thegelbottle.com/gel-colour/bootie-mini/,https://cdn11.bigcommerce.com/s-3k1bxwjbw6/products/2004/images/384906/61812626db9357254615f6edbb6b0d14aba30573_Medium_01_25008_EC_POPS_BOOTIE_9018_FINAL_1500x1500crop_72dpi__69615.1758289504.220.290.jpg?c=1
The GelBottle Inc.,GelColor,,Standard,Ketchup Mini,#DA2A1B,https://thegelbottle.com/shop/gel-colour/ketchup-mini/,https://cdn11.bigcommerce.com/s-3k1bxwjbw6/products/1616/images/384801/8f507db231cc652e9eef4856be82944c14b739e7_59547_ketchup_mini__17389.1758289498.220.290.jpg?c=1
The GelBottle Inc.,GelColor,,Glitter,Bouquet MINI,#E8C9C9,https://thegelbottle.com/shop/gel-colour/minis/bouquet-mini/,https://cdn11.bigcommerce.com/s-3k1bxwjbw6/products/1656/images/387433/8e7e900d55b647a4794b2544f6c9dc27201ee124_59739_bouquet_mini__99613.1758289509.220.290.jpg?c=1
The GelBottle Inc.,GelColor,,Shimmery,Veil MINI,#F8F3F3,https://thegelbottle.com/shop/gel-colour/minis/veil-mini/,https://cdn11.bigcommerce.com/s-3k1bxwjbw6/products/1659/images/383745/e733f14a7e1c2b8e7210459d8fd57ce90d1d1f23_59743_veil_mini__07498.1758289513.220.290.jpg?c=1
The GelBottle Inc.,GelColor,,Standard,Doughnut Mini,#F15DAA,https://thegelbottle.com/shop/gel-colour/doughnut-mini/,https://cdn11.bigcommerce.com/s-3k1bxwjbw6/products/1608/images/385247/bd9de8946b80323b9f8ee6db13c95f7e99e8e3ef_59531_donut_mini__26733.1758289495.220.290.jpg?c=1
